Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi
E. globulus,17/01/2011,1,Amb,640,1024,Sustained drought,-0.584918052,0.005583907,801.8394708,0.0380428,0.67288267,6,0,1.420000017,16.93789291,18.07775116,16.03578186,640.4454956,641.567627,13.99296474,14.0680542,72.33265686,72.72080994,299.7034302,0.019351462
E. globulus,17/01/2011,1,Amb,400,1049,Well watered,-0.449332503,0.061302412,407.16071,0.756416798,0.450947117,6,0,1.420000017,16.66576004,17.5804863,16.10032082,399.3874817,399.9247437,11.69241714,12.58178329,61.54797363,66.22952271,300.3982544,0.023304358
E. globulus,17/01/2011,1,Amb,400,1049,Well watered,-0.454828986,0.06126529,407.3434258,0.756722726,0.45086677,6,0,1.420000017,16.6652298,17.58125687,16.10053444,399.4064941,399.9548035,11.69043159,12.57969284,61.53966904,66.22083282,300.3807983,0.043371804
E. globulus,17/01/2011,1,Amb,400,1049,Well watered,-0.425391516,0.061327924,406.5028201,0.756686898,0.451285062,6,0,1.420000017,16.66580582,17.58106041,16.10061455,399.427887,399.9170837,11.68967724,12.57974148,61.53374481,66.21898651,300.3882141,0.017478211
E. globulus,17/01/2011,1,Amb,400,1049,Well watered,-0.478112116,0.060961865,408.0746452,0.757153396,0.448977665,6,0,1.420000017,16.66576004,17.57956314,16.10020447,399.4047852,400.0010071,11.68775558,12.57320404,61.52370834,66.18466187,300.4122314,0.068617433
E. globulus,17/01/2011,1,Amb,400,1049,Well watered,-0.521394957,0.06100311,409.2585644,0.757084525,0.449227501,6,0,1.420000017,16.66568184,17.57953644,16.100317,399.3408508,400.0233154,11.68787766,12.57383823,61.52474976,66.18843079,300.4054565,0.053728424
E. globulus,17/01/2011,1,Amb,400,1051,Rewatered  drought,-0.709183168,0.015183067,470.88974,0.724708667,0.110597821,6,0,1.420000017,16.89774895,18.31880379,16.09642792,399.2682495,400.5964355,13.64073944,13.85861206,70.73686218,71.86668396,300.3546448,0.048680015
E. globulus,17/01/2011,1,Amb,400,1051,Rewatered  drought,-0.680351025,0.015008365,468.6062508,0.724709261,0.109338614,6,0,1.420000017,16.89766693,18.31728554,16.09589195,399.2592468,400.5308228,13.64123631,13.8566227,70.7396698,71.85660553,300.3631287,0.059924588
E. globulus,17/01/2011,1,Amb,400,1051,Rewatered  drought,-0.68171193,0.014644928,470.5365622,0.724915759,0.106748277,6,0,1.420000017,16.89733315,18.31646538,16.09584999,399.2476501,400.5241394,13.64319229,13.85349655,70.75121307,71.84181213,300.3346863,0.126228735
E. globulus,17/01/2011,1,Amb,400,1051,Rewatered  drought,-0.665354473,0.014781274,468.0423916,0.724581052,0.107681588,6,0,1.420000017,16.89788628,18.31582451,16.09596252,399.2429199,400.4860229,13.64376163,13.85590935,70.75209808,71.85222626,300.32724,0.139824167
E. globulus,17/01/2011,1,Amb,400,1051,Rewatered  drought,-0.752689279,0.0151575,475.6895918,0.724279577,0.110347884,6,0,1.420000017,16.89814758,18.31732178,16.09666824,399.2459106,400.661377,13.64348793,13.86089611,70.74951172,71.87690735,300.3153687,0.095807634
E. globulus,17/01/2011,1,Amb,400,1052,Rewatered  drought,-0.60563492,0.022306289,438.2100573,0.865306153,0.192736053,6,0,1.420000017,16.75700378,17.85070038,16.09900475,399.0008545,400.0567017,11.45993233,11.84040356,59.97832108,61.96960449,300.3443604,0.107457094
E. globulus,17/01/2011,1,Amb,400,1052,Rewatered  drought,-0.553373504,0.022122256,434.7159925,0.865427218,0.191195986,6,0,1.420000017,16.75665855,17.84998703,16.09897041,399.0549011,400.0075684,11.46080685,11.83822823,59.98445511,61.95983124,300.3527222,0.13011314
E. globulus,17/01/2011,1,Amb,400,1052,Rewatered  drought,-0.553373504,0.022122256,434.7159925,0.865427218,0.191195986,6,0,1.420000017,16.75665855,17.84998703,16.09897041,399.0549011,400.0075684,11.46080685,11.83822823,59.98445511,61.95983124,300.3527222,0.13011314
