Species,Date,Day,Temp,CO2,Potnum,Water,Photo,Cond,Ci,Trmmol,VpdL,Area,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RHR,RHS,Flow,PARi,CiCa
E. globulus,2011/01/17,1,Amb,640,1016,Sustained drought,5.058939982,0.024430624,275.4631131,0.732313307,2.921248442,6,0,1.420000017,28.89986992,33.03159714,28.08682632,640.4130859,633.7870483,20.66622734,21.52587318,51.37837982,53.51554871,500.1242981,1999.023193,0.434630392
E. globulus,2011/01/17,1,Amb,640,1018,Well watered,15.44023123,0.668911908,550.4025594,7.612640502,1.603604629,6,0,1.420000017,28.75958252,31.04606819,28.08699799,641.3083496,617.1488647,20.4763546,29.34108353,51.37302017,73.61369324,500.1355896,1998.450195,0.891847317
E. globulus,2011/01/17,1,Amb,640,1018,Well watered,15.43189035,0.668690209,550.4180386,7.612883057,1.603999805,6,0,1.420000017,28.76037598,31.04821777,28.08735657,641.3028564,617.152832,20.47776604,29.34288216,51.37384796,73.61431885,500.1287537,1998.796875,0.891866666
E. globulus,2011/01/17,1,Amb,640,1018,Well watered,15.41237808,0.668775338,550.4980646,7.6142215,1.604150368,6,0,1.420000017,28.76099205,31.04963875,28.08760262,641.293396,617.1651001,20.47796631,29.34483528,51.37289047,73.61712646,500.1167908,1999.123169,0.891978604
E. globulus,2011/01/17,1,Amb,640,1018,Well watered,15.48860272,0.668667771,550.1922375,7.615177857,1.604513191,6,0,1.420000017,28.76185608,31.05177498,28.08756828,641.3405151,617.1202393,20.47881508,29.3468647,51.37220383,73.61817932,500.111969,1999.461304,0.891547874
E. globulus,2011/01/17,1,Amb,640,1018,Well watered,15.38033109,0.668501149,550.5836934,7.617983311,1.605352589,6,0,1.420000017,28.76322174,31.05663681,28.08792496,641.2643433,617.1711426,20.47982216,29.35120201,51.37036514,73.62280273,500.1061707,2000.059692,0.892108615
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,16.86450402,0.487094077,529.3853529,6.232129624,1.644830509,6,0,1.420000017,28.78234863,31.18596268,28.08066559,641.0611572,616.2224121,22.04712105,29.30444336,55.21467972,73.38987732,500.1431885,2000.26709,0.859081628
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,16.95895845,0.488123782,529.0511941,6.238597967,1.643882593,6,0,1.420000017,28.78193855,31.18347168,28.08013725,641.1140137,616.1578369,22.04393387,29.30870438,55.20568848,73.39920807,500.1467896,2000.330811,0.858629336
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,16.91490254,0.488299482,529.3166542,6.241293404,1.644118848,6,0,1.420000017,28.78202629,31.18394279,28.07998276,641.1287231,616.2231445,22.04028702,29.30813408,55.19519424,73.39596558,500.1513672,2000.375488,0.858969123
E. globulus,2011/01/17,1,Amb,640,1023,Well watered,16.83210907,0.488285964,529.7141623,6.241576981,1.644264813,6,0,1.420000017,28.78165436,31.18374443,28.0798893,641.0856323,616.2780151,22.03713036,29.3055439,55.18962097,73.39257813,500.1364441,2000.419434,0.859537659
