Species,Date,Day,Temp,CO2,Potnum,Water,LeafDW,RootDW,StemDW,Height,Basaldia1,Basaldia2,
E. globulus,2011/02/25,41,Elv,400,1132,Sustained drought,7.4905,4.6008,4.0286,45,5.85,5.39,
E. globulus,2011/02/25,41,Amb,400,1107,Sustained drought,8.817,11.3708,4.6946,45.3,5.46,5.68,
E. globulus,2011/02/25,41,Amb,640,1144,Sustained drought,10.6965,8.7671,5.7051,45.9,6.21,6.21,
E. globulus,2011/02/25,41,Elv,640,1070,Well watered,21.5068,14.0936,14.4114,70,10.19,10.5,
E. globulus,2011/02/25,41,Elv,400,1012,Well watered,24.1825,14.5075,19.8926,81.5,10.89,11.01,
E. globulus,2011/02/25,41,Amb,400,1081,Well watered,16.421,14.2384,8.1918,62,9.62,9.33,
E. globulus,2011/02/25,41,Amb,640,1142,Well watered,21.4533,16.4053,12.3642,58,10.27,10.47,
E. globulus,2011/03/22,63,Elv,640,1048,Rewatered  drought,13.5168,8.1251,8.6312,55.5,6.87,7.04,
E. globulus,2011/03/22,63,Elv,400,1005,Rewatered  drought,13.5778,7.3257,9.9557,55,6.98,6.95,
E. globulus,2011/03/22,63,Amb,400,1077,Rewatered  drought,11.4275,10.2648,8.0416,56.1,6.76,6.67,
E. globulus,2011/03/22,63,Amb,640,1013,Rewatered  drought,14.4992,10.6344,7.1955,58,6.56,6.59,
E. globulus,2011/03/22,63,Elv,640,1047,Sustained drought,8.9949,8.4935,5.7653,42.5,6.57,6.36,
E. globulus,2011/03/22,63,Elv,400,1003,Sustained drought,8.4523,7.3666,4.9569,48.5,5.62,5.81,
E. globulus,2011/03/22,63,Amb,400,1058,Sustained drought,7.3453,7.0371,4.0913,44,4.98,5.06,
E. globulus,2011/03/22,63,Amb,640,1024,Sustained drought,7.8164,6.1326,3.9938,46,5.2,5.16,
E. globulus,2011/03/22,63,Elv,640,1090,Well watered,19.033,18.0534,11.9661,63,10.72,10.49,
E. globulus,2011/03/22,63,Elv,400,1034,Well watered,16.6325,16.2683,13.8373,86.5,11.91,11.07,
E. globulus,2011/03/22,63,Amb,400,1106,Well watered,19.6416,15.1915,15.6112,87.5,10.95,10.75,
E. globulus,2011/03/22,63,Amb,640,1114,Well watered,17.5599,19.1083,10.4267,64.3,10.4,11.02,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
