Species,Date,Day,Temp,CO2,Water,Organ,StarchW,SolSugW
E. globulus,17/02/11,33,Elv,400,Well watered,Root,0.760563,32.477515
E. globulus,17/02/11,33,Elv,640,Well watered,Stem,0.990826,36.16514
E. globulus,17/02/11,33,Elv,400,Well watered,Stem,1.356164,41.674836
E. globulus,25/02/11,41,Amb,640,Rewatered  drought,Leaf,24.194805,103.437865
E. globulus,25/02/11,41,Amb,400,Rewatered  drought,Leaf,5.331818,132.283264
E. globulus,25/02/11,41,Amb,640,Rewatered  drought,Root,1.159091,31.179116
E. globulus,25/02/11,41,Amb,400,Rewatered  drought,Root,9.131004,29.248802
E. globulus,25/02/11,41,Amb,640,Rewatered  drought,Stem,4.123348,54.312845
E. globulus,25/02/11,41,Amb,400,Rewatered  drought,Stem,5.242991,45.831307
E. globulus,25/02/11,41,Elv,640,Rewatered  drought,Leaf,13.15493,157.819324
E. globulus,25/02/11,41,Elv,400,Rewatered  drought,Leaf,3.085308,91.811134
E. globulus,25/02/11,41,Elv,640,Rewatered  drought,Root,3.156398,38.247629
E. globulus,25/02/11,41,Elv,400,Rewatered  drought,Root,2.960177,27.266541
E. globulus,25/02/11,41,Elv,640,Rewatered  drought,Stem,2.779221,34.833469
E. globulus,25/02/11,41,Elv,400,Rewatered  drought,Stem,2.049107,38.4868
E. globulus,25/02/11,41,Amb,640,Sustained drought,Leaf,7.321101,124.828111
E. globulus,25/02/11,41,Amb,400,Sustained drought,Leaf,3.364865,109.746767
E. globulus,25/02/11,41,Amb,640,Sustained drought,Root,7.739496,41.194649
E. globulus,25/02/11,41,Amb,400,Sustained drought,Root,8.660377,32.386242
E. globulus,25/02/11,41,Amb,640,Sustained drought,Stem,1.018868,46.303473
E. globulus,25/02/11,41,Amb,400,Sustained drought,Stem,4.15814,50.71292
E. globulus,25/02/11,41,Elv,640,Sustained drought,Leaf,4.009756,157.434115
E. globulus,25/02/11,41,Elv,400,Sustained drought,Leaf,3.519481,84.90908
E. globulus,25/02/11,41,Elv,640,Sustained drought,Root,3.481651,39.703225
E. globulus,25/02/11,41,Elv,400,Sustained drought,Root,2.40566,21.061588
E. globulus,25/02/11,41,Elv,640,Sustained drought,Stem,2.479452,42.409338
E. globulus,25/02/11,41,Elv,400,Sustained drought,Stem,2.604545,39.966818
E. globulus,25/02/11,41,Amb,640,Well watered,Leaf,96.88,68.337915
E. globulus,25/02/11,41,Amb,400,Well watered,Leaf,78.894231,75.586202
E. globulus,25/02/11,41,Amb,640,Well watered,Root,2.190265,25.272518
E. globulus,25/02/11,41,Amb,400,Well watered,Root,9.206422,24.825848
E. globulus,25/02/11,41,Amb,640,Well watered,Stem,1.454148,28.881648
E. globulus,25/02/11,41,Amb,400,Well watered,Stem,2.889908,34.770963
E. globulus,25/02/11,41,Elv,640,Well watered,Leaf,53.684932,78.53118
E. globulus,25/02/11,41,Elv,400,Well watered,Leaf,103.935897,60.794215
E. globulus,25/02/11,41,Elv,640,Well watered,Root,7.072398,24.488845
E. globulus,25/02/11,41,Elv,400,Well watered,Root,2.866995,32.199318
E. globulus,25/02/11,41,Elv,640,Well watered,Stem,3.054545,32.526248
E. globulus,25/02/11,41,Elv,400,Well watered,Stem,2.458333,29.041574
E. globulus,22/03/11,63,Amb,640,Rewatered  drought,Leaf,5.452055,138.756771
E. globulus,22/03/11,63,Amb,400,Rewatered  drought,Leaf,3.40099,112.915383
E. globulus,22/03/11,63,Amb,640,Rewatered  drought,Root,0.811927,46.358506
E. globulus,22/03/11,63,Amb,400,Rewatered  drought,Root,1.182266,28.97958
E. globulus,22/03/11,63,Amb,640,Rewatered  drought,Stem,6.82E-02,44.33754
E. globulus,22/03/11,63,Amb,400,Rewatered  drought,Stem,1.589109,66.367787
E. globulus,22/03/11,63,Elv,640,Rewatered  drought,Leaf,3.871921,130.020057
E. globulus,22/03/11,63,Elv,400,Rewatered  drought,Leaf,3.358852,120.561794
E. globulus,22/03/11,63,Elv,640,Rewatered  drought,Root,0.597345,60.603624
E. globulus,22/03/11,63,Elv,400,Rewatered  drought,Root,0.8775,34.608411
E. globulus,22/03/11,63,Elv,640,Rewatered  drought,Stem,0.736607,35.895225
E. globulus,22/03/11,63,Elv,400,Rewatered  drought,Stem,0.87907,41.063673
E. globulus,22/03/11,63,Amb,640,Sustained drought,Leaf,2.64455,102.541612
E. globulus,22/03/11,63,Amb,400,Sustained drought,Leaf,3.385321,133.441071
E. globulus,22/03/11,63,Amb,640,Sustained drought,Root,2.153465,51.091042
E. globulus,22/03/11,63,Amb,400,Sustained drought,Root,1.825472,30.8769
E. globulus,22/03/11,63,Amb,640,Sustained drought,Stem,1.71028,44.031244
E. globulus,22/03/11,63,Amb,400,Sustained drought,Stem,1.773333,73.551674
E. globulus,22/03/11,63,Elv,640,Sustained drought,Leaf,1.315271,129.443986
E. globulus,22/03/11,63,Elv,400,Sustained drought,Leaf,3.439024,97.595595
E. globulus,22/03/11,63,Elv,640,Sustained drought,Root,1.641026,35.247745
E. globulus,22/03/11,63,Elv,400,Sustained drought,Root,2.985849,23.784796
E. globulus,22/03/11,63,Elv,640,Sustained drought,Stem,1.925581,31.697854
